PURCHASEORDERID,HISTORY.CREATEDBY.EMPLOYEEID,HISTORY.CREATEDAT,HISTORY.CHANGEDBY.EMPLOYEEID,HISTORY.CHANGEDAT,NOTEID,PARTNER.PARTNERID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,LIFECYCLESTATUS,APPROVALSTATUS,CONFIRMSTATUS,ORDERINGSTATUS,INVOICINGSTATUS
300000000,33,2015-01-01,33,2015-01-01,9000000001,100000000,EUR,13224.47,11113,2111.47,N,I,I,I,I
300000001,33,2015-01-02,33,2015-01-02,9000000001,100000002,EUR,12493.73,10498.94,1994.79,N,I,I,I,I
300000002,33,2015-01-03,33,2015-01-03,9000000001,100000005,EUR,11666.69,9803.94,1862.75,C,A,S,I,D
300000003,33,2015-01-04,33,2015-01-04,9000000001,100000006,EUR,16561.23,13917,2644.23,P,I,C,I,I
300000004,33,2015-01-05,33,2015-01-05,9000000001,100000006,EUR,12515.23,10517,1998.23,X,R,X,I,I
300000005,33,2015-01-06,33,2015-01-06,,100000008,EUR,8368.08,7032,1336.08,C,A,S,I,D
300000006,33,2015-01-07,33,2015-01-07,,100000003,EUR,6146.19,5164.87,981.32,P,I,S,I,I
300000007,33,2015-01-08,33,2015-01-08,,100000004,EUR,5720.31,4806.98,913.33,R,R,X,I,I
300000008,33,2015-01-09,33,2015-01-09,,100000009,EUR,4444.17,3734.6,709.57,C,A,S,I,D
300000009,33,2015-01-10,33,2015-01-10,,100000000,EUR,3453.38,2902,551.38,P,I,C,I,I
300000010,33,2015-01-11,33,2015-01-11,,100000002,EUR,8150.94,6849.53,1301.41,N,I,I,I,I
300000011,33,2015-01-12,33,2015-01-12,,100000004,EUR,3040.41,2554.97,485.44,C,A,S,I,D
300000012,33,2015-01-13,33,2015-01-13,,100000005,EUR,18986.39,15954.94,3031.45,P,I,S,I,I
300000013,33,2015-01-14,33,2015-01-14,,100000006,EUR,23408.49,19671,3737.49,P,A,S,I,I
300000014,33,2015-01-15,33,2015-01-15,,100000006,EUR,12515.23,10517,1998.23,R,R,X,I,I
300000015,33,2015-01-16,33,2015-01-16,,100000008,EUR,9971.01,8379,1592.01,C,A,S,I,D
300000016,33,2015-01-17,33,2015-01-17,,100000004,EUR,1829.01,1536.98,292.03,N,I,I,I,I
300000017,33,2015-01-18,33,2015-01-18,,100000005,EUR,5055.11,4247.99,807.12,C,A,S,I,D
300000018,33,2015-01-19,33,2015-01-19,,100000002,EUR,2510.26,2109.47,400.79,C,A,S,I,D
300000019,33,2015-01-20,33,2015-01-20,,100000009,EUR,3974.12,3339.6,634.52,P,A,C,I,I
300000020,33,2015-01-21,33,2015-01-21,,100000000,EUR,10329.2,8680,1649.2,C,A,S,I,D
300000021,33,2015-01-22,33,2015-01-22,,100000002,EUR,2153.64,1809.78,343.86,X,R,X,I,I
300000022,33,2015-01-23,33,2015-01-23,,100000006,EUR,14276.43,11997,2279.43,P,I,C,I,I
300000023,33,2015-01-24,33,2015-01-24,,100000008,EUR,3592.61,3019,573.61,P,I,C,I,I
300000024,33,2015-01-25,33,2015-01-25,,100000005,EUR,14640.47,12302.92,2337.55,R,R,X,I,I
300000025,33,2015-01-26,33,2015-01-26,,100000003,EUR,16748.33,14074.23,2674.1,C,A,S,I,D
300000026,33,2015-01-27,33,2015-01-27,,100000003,EUR,13053.03,10968.94,2084.09,N,I,I,I,I
300000027,33,2015-01-28,33,2015-01-28,,100000003,EUR,8555.55,7189.54,1366.01,X,R,X,I,I
300000028,33,2015-01-29,33,2015-01-29,,100000008,EUR,4977.77,4183,794.77,N,I,I,I,I
300000029,33,2015-01-30,33,2015-01-30,,100000004,EUR,3180.85,2672.98,507.87,C,A,S,I,D
300000030,33,2015-01-31,33,2015-01-31,,100000006,EUR,25366.04,21316,4050.04,X,R,X,I,I
300000031,33,2015-02-01,33,2015-02-01,,100000004,EUR,3470,2915.97,554.03,N,I,I,I,I
300000032,33,2015-02-02,33,2015-02-02,,100000006,EUR,23589.37,19823,3766.37,C,A,S,I,D
300000033,33,2015-02-03,33,2015-02-03,,100000009,EUR,4444.17,3734.6,709.57,X,R,X,I,I
300000034,33,2015-02-04,33,2015-02-04,,100000000,EUR,3453.38,2902,551.38,C,A,S,I,D
300000035,33,2015-02-05,33,2015-02-05,,100000002,EUR,8150.94,6849.53,1301.41,X,R,X,I,I
300000036,33,2015-02-06,33,2015-02-06,,100000003,EUR,4372.85,3674.67,698.18,R,R,X,I,I
300000037,33,2015-02-07,33,2015-02-07,,100000005,EUR,18986.39,15954.94,3031.45,P,I,S,I,I
300000038,33,2015-02-08,33,2015-02-08,,100000006,EUR,23408.49,19671,3737.49,N,I,I,I,I
300000039,33,2015-02-09,33,2015-02-09,,100000006,EUR,12515.23,10517,1998.23,R,R,X,I,I
300000040,33,2015-02-10,33,2015-02-10,,100000008,EUR,9971.01,8379,1592.01,P,I,C,I,I
300000041,33,2015-02-11,33,2015-02-11,,100000004,EUR,1829.01,1536.98,292.03,R,R,X,I,I
300000042,33,2015-02-12,33,2015-02-12,,100000002,EUR,3772.29,3169.99,602.3,R,R,X,I,I
300000043,33,2015-02-13,33,2015-02-13,,100000005,EUR,3729.42,3133.97,595.45,X,R,X,I,I
300000044,33,2015-02-14,33,2015-02-14,,100000009,EUR,4878.64,4099.7,778.94,N,I,I,I,I
300000045,33,2015-02-15,33,2015-02-15,,100000000,EUR,9222.5,7750,1472.5,X,R,X,I,I
300000046,33,2015-02-16,33,2015-02-16,,100000002,EUR,3986.25,3349.79,636.46,X,R,X,I,I
300000047,33,2015-02-17,33,2015-02-17,,100000008,EUR,3334.38,2802,532.38,R,R,X,I,I
300000048,33,2015-02-18,33,2015-02-18,,100000006,EUR,15898.4,13360,2538.4,X,R,X,I,I
300000049,33,2015-02-19,33,2015-02-19,,100000005,EUR,14320.39,12033.94,2286.45,P,A,C,I,I
300000050,33,2015-02-20,33,2015-02-20,,100000026,EUR,19189.94,16126,3063.94,P,I,C,I,I
300000051,33,2015-02-21,33,2015-02-21,,100000025,EUR,327367.81,275099,52268.81,C,A,S,I,D
300000052,33,2015-02-22,33,2015-02-22,,100000022,EUR,21399.77,17983,3416.77,C,A,S,I,D
300000053,33,2015-02-23,33,2015-02-23,,100000024,EUR,72391.27,60833,11558.27,X,R,X,I,I
300000054,33,2015-02-24,33,2015-02-24,,100000024,EUR,125233.22,105238,19995.22,R,R,X,I,I
300000055,33,2015-02-25,33,2015-02-25,,100000021,EUR,11030.11,9269,1761.11,X,R,X,I,I
300000056,33,2015-02-26,33,2015-02-26,,100000023,EUR,35817.81,30099,5718.81,X,R,X,I,I
300000057,33,2015-02-27,33,2015-02-27,,100000019,EUR,5488.28,4612,876.28,C,A,S,I,D
300000058,33,2015-02-28,33,2015-02-28,,100000026,EUR,12195.12,10248,1947.12,N,I,I,I,I
300000059,33,2015-02-28,33,2015-02-28,,100000026,EUR,3505.74,2946,559.74,C,A,S,I,D
300000060,33,2015-03-01,33,2015-03-01,,100000025,EUR,297553.55,250045,47508.55,P,I,C,I,I
300000061,33,2015-03-02,33,2015-03-02,,100000019,EUR,2898.84,2436,462.84,N,I,I,I,I
300000062,33,2015-03-03,33,2015-03-03,,100000022,EUR,27716.29,23291,4425.29,N,I,I,I,I
300000063,33,2015-03-04,33,2015-03-04,,100000024,EUR,143791.27,120833,22958.27,P,A,S,I,I
300000064,33,2015-03-05,33,2015-03-05,,100000024,EUR,107524.83,90357,17167.83,P,A,C,I,I
300000065,33,2015-03-06,33,2015-03-06,,100000021,EUR,14147.91,11889,2258.91,X,R,X,I,I
300000066,33,2015-03-07,33,2015-03-07,,100000019,EUR,1652.91,1389,263.91,N,I,I,I,I
300000067,33,2015-03-08,33,2015-03-08,,100000022,EUR,5911.92,4968,943.92,N,I,I,I,I
300000068,33,2015-03-09,33,2015-03-09,,100000025,EUR,148792.84,125036,23756.84,N,I,I,I,I
300000069,33,2015-03-10,33,2015-03-10,,100000026,EUR,5283.6,4440,843.6,N,I,I,I,I
300000070,33,2015-03-11,33,2015-03-11,,100000026,EUR,13964.65,11735,2229.65,N,I,I,I,I
300000071,33,2015-03-12,33,2015-03-12,,100000025,EUR,119010.71,100009,19001.71,X,R,X,I,I
300000072,33,2015-03-13,33,2015-03-13,,100000024,EUR,53974.83,45357,8617.83,N,I,I,I,I
300000073,33,2015-03-14,33,2015-03-14,,100000021,EUR,7676.69,6451,1225.69,X,R,X,I,I
300000074,33,2015-03-15,33,2015-03-15,,100000022,EUR,22006.67,18493,3513.67,N,I,I,I,I
300000075,33,2015-03-16,33,2015-03-16,,100000023,EUR,66745.91,56089,10656.91,R,R,X,I,I
300000076,33,2015-03-17,33,2015-03-17,,100000023,EUR,66745.91,56089,10656.91,R,R,X,I,I
300000077,33,2015-03-18,33,2015-03-18,,100000023,EUR,42474.67,35693,6781.67,R,R,X,I,I
300000078,33,2015-03-19,33,2015-03-19,,100000021,EUR,10558.87,8873,1685.87,X,R,X,I,I
300000079,33,2015-03-20,33,2015-03-20,,100000019,EUR,3525.97,2963,562.97,N,I,I,I,I
300000080,33,2015-03-21,33,2015-03-21,,100000024,EUR,143791.27,120833,22958.27,X,R,X,I,I
300000081,33,2015-03-22,33,2015-03-22,,100000019,EUR,2801.26,2354,447.26,X,R,X,I,I
300000082,33,2015-03-23,33,2015-03-23,,100000024,EUR,143791.27,120833,22958.27,X,R,X,I,I
300000083,33,2015-03-24,33,2015-03-24,,100000026,EUR,8739.36,7344,1395.36,R,R,X,I,I
300000084,33,2015-03-25,33,2015-03-25,,100000026,EUR,6961.5,5850,1111.5,C,A,S,I,D
300000085,33,2015-03-26,33,2015-03-26,,100000025,EUR,148857.1,125090,23767.1,C,A,S,I,D
300000086,33,2015-03-27,33,2015-03-27,,100000023,EUR,24271.24,20396,3875.24,C,A,S,I,D
300000087,33,2015-03-28,33,2015-03-28,,100000022,EUR,30368.8,25520,4848.8,X,R,X,I,I
300000088,33,2015-03-29,33,2015-03-29,,100000024,EUR,126082.88,105952,20130.88,C,A,S,I,D
300000089,33,2015-03-30,33,2015-03-30,,100000024,EUR,54399.66,45714,8685.66,X,R,X,I,I
300000090,33,2015-03-31,33,2015-03-31,,100000021,EUR,15471.19,13001,2470.19,C,A,S,I,D
300000091,33,2015-04-01,33,2015-04-01,,100000019,EUR,1970.64,1656,314.64,P,A,C,I,I
300000092,33,2015-04-02,33,2015-04-02,,100000025,EUR,29771.42,25018,4753.42,R,R,X,I,I
300000093,33,2015-04-03,33,2015-04-03,,100000022,EUR,12430.74,10446,1984.74,P,A,C,I,I
300000094,33,2015-04-04,33,2015-04-04,,100000026,EUR,12186.79,10241,1945.79,N,I,I,I,I
300000095,33,2015-04-05,33,2015-04-05,,100000026,EUR,13964.65,11735,2229.65,R,R,X,I,I
300000096,33,2015-04-06,33,2015-04-06,,100000025,EUR,119010.71,100009,19001.71,P,I,S,I,I
